"Title","ID","Created Date","Updated Date","Owner","workNumber","comment","score","replyCount","replyTo","submissionTime"
"","comment-000011","2026-04-20T08:10:22Z","2026-04-20T08:10:22Z","user-0001","67","感谢谱师的创作！这首歌的歌曲风格好像不太常见诶，听的时候感觉有一种难言之隐藏在旋律中……谱师带来的配置以键盘和海底谭为主（看其他评论补充说是回顾术力口历史的歌曲，所以有致敬，原谅我对这首歌不是很熟所以可能不能完全get到谱师的致敬，所以我就只从配置和手感的角度说说了），双键海底谭的压力其实还是有一点点大的，再加上较多的键盘段，给了这首歌很硬朗的手感，其实我觉得是和这首歌的情感和氛围略微有一点不搭的。但是谱师能在海底谭的基础上灵活加入符合采音的其他配置这点确实值得夸奖！可以说一下子就拉高了谱面的丰富性。在排键上感觉谱师还可以再大胆一点！现在的排键虽然手感上没问题但玩着可能也会有一点点单调。总而言之是一张较为扎实的谱面，但新意方面可能略有欠缺导致我的复玩意愿不算高，但无论如何还是感谢谱师的创作，祝谱师能取得好成绩！","700","","",""
"","comment-000012","2026-04-14T06:04:09Z","2026-04-14T06:04:09Z","user-0011","58","全程梦到哪写到哪
采的轨变来变去像在打sdvx
出现这种情况我认为应该考虑一下你选曲过后是不是需要自己再cut一些段落来减少曲的信息量，而不是缩减自己想写的配置","535","","",""
"","comment-000013","2026-04-28T19:10:44Z","2026-04-28T19:10:44Z","user-0012","213","总体还行的跳拍歌，就总感觉后面有点乱，不过其实手感打起来还行，我挺喜欢这种自由手顺","835","","",""
"","comment-000014","2026-04-10T07:36:10Z","2026-04-10T07:36:10Z","user-0013","60","看太入迷了！後半14.4 整體14.24 !","0","","comment-002607","2026-04-10T07:36:10.390Z"
"","comment-000015","2026-05-08T15:53:08Z","2026-05-08T15:53:08Z","user-0014","37","谱师自己打了一下，确实有点变态。T T
一想到b站三个实测视频打那段能有三个手法(正攻的顺手蹭的大手邪道的)就发觉自己好像把什么不得了的东西写出来了，还好把套换到了tap而不是像前一段一样在星星头上。","0","","comment-002808","2026-05-08T15:53:08.037Z"
"","comment-000016","2026-05-08T23:21:01Z","2026-05-08T23:21:01Z","user-0015","238","萌萌的。
谱师对于音色选择和表现，以及段落分配，强度分配这一块很厉害，因此观感非常不错。
但是实测不行。
希望谱师如果有条件的话可以打一打自己的谱面，很多地方手感实在奇怪，比如1234键位的穿心，5z1蹭5-7，还有唐突小纵连之类的手感硬伤问题。
但已经很不错了，希望谱师再接再厉，以后可以在手感设计上多下下功夫","783","","",""
"","comment-000017","2026-04-12T11:57:26Z","2026-04-12T11:57:26Z","user-0016","25","感觉整体挺不错，就是那个副歌的跳拍+星星略有些反直觉，然后有的节奏型区分度不太够，也是这个副歌的跳拍加星星前面一点点。","768","","",""
"","comment-000018","2026-05-04T10:08:47Z","2026-05-04T10:08:47Z","user-0017","293","首先这首歌的上限就不高
各种写法已经被很多人写过很多遍了 这里不再提常规写法
说一下点子的部分：
```
{8},Ch[8:1]/7h[8:2],,,
{16}1b>4[8:1],,,,1<6[8:1],,,,1>4[8:1],,,,1,,7h[4:1],,
{16},,4,,3-8[8:1]/5,,4,,3,,B6/A6,,B2h[4:1]/C,,,,
{16}7h[4:1],,,,E4h[4:1],,8,,{24}8,E5,E6,{16},,1,,1h[4:1],,
{16},,E4,,1/E5h[4:1],,1-6b[8:1],,{24}1x-4b[8:1],E4,E3,{16}E2,,,,,,
{16}8<5[8:1],,,,8>3[8:1],,,,8<5[8:1],,,,8,,2h[4:1],,
{16},,5,,6-1[8:1]/4,,3,,6,,B3/A3,,B7h[4:1]/C,,,,
{24}E2h[4:1],,,,,,E6h[4:1],E3,E4,E5,,,,E7,E8,E1h[4:1],,,,,,E2h[4:1],E8,E7,
{24},,,E3h[4:1],E1,E8,,,,,E2,E1,E8f/4xh[8:1],,,,,,3xh[8:1],,,,,,
{16}1-5[8:1]/2h[4:1],,,,,,,,1-5[8:1]/2h[4:1],,,,,,1h[4:1],,
{16},,5,,8-4[8:1]/6,,7,,1,,B2/A2,,B6h[4:1]/C,,,,
{24}3h[4:1],,,,,,E8h[4:1],,,2,,,2,E7,E6,E5,,,1,,,1h[4:1],,,
{24}A5h[4:1],,,,,,1x,A6,A7,A8h[4:1]/1x,,,1x-5b[8:1],,,,B8,C,B4,,,,,,
{16}8h[8:5],,,,,,,,,,1,1,8x,,Cb,,
{16},,6,5,7,,3qq4[4:1],4,2,,B3/E3/E4,,E7/B6/E6,,,,
{24}6xh[4:1],,,,,,5,,,4,,,3h[4:1],,,,,,2,,,1/3xh[4:1],,,
{24}E2h[8:1],,,,E1,E8,E7h[8:1],,,,E6,E5,A4h[8:1]/A3h[8:1],,,,A5/A2,A6/A1,A7f/A8f,,,,,,
```
可以看到大量的24分补音和非Ch 且非同时结束
整体有点“为写而写”
这首歌情绪不高 容纳不下这种实验性写法 可以另寻内容更丰富的曲目适用这种写法","318","","",""
"","comment-000019","2026-05-01T11:06:36Z","2026-05-01T11:06:36Z","user-0018","257","就是喜欢这种粉粉嫩嫩的小歌。
采音难度设计合理，手顺引导基本得体。没什么很亮眼的创意但很一笔画的设计也足味了，有点小瑕疵就是最后一组一笔画（452cb)引导差点，因为有前面几组一笔画的惯性，玩家一号键绝赞星星起手很容易就右手开始一笔画了，谱师的设计的左手星星起手，右手按其他音符。而且内屏玩这段相对较蹭，容易把5-8星星和4-1星星提前划掉。","768","","",""
"","comment-000020","2026-04-27T16:17:38Z","2026-04-27T16:17:38Z","user-0019","235","我对以下配置持保留意见。整张谱面简洁有力，层次分明，能够充分调动玩家，是一张优秀的参赛作品。
{16}8b,,,,3xh[8:1],,8xh[8:1],,
{64}A2,D2,A1,D1,,D8,A7,D7,
{16}A6,4x,3xb/5b,,,,","835","","",""
"","comment-000021","2026-04-11T16:36:39Z","2026-04-11T16:36:39Z","user-0020","65","一张很有想法且完成度不低的谱，尤其喜欢300-500cb的写法。只不过二副的信息量感觉略有些大？
一个游玩细节上的小建议：31cb的C touch hold较容易挡住下面的5号键星星头（官谱isophote有同款例子），可以微调一下键位。","768","","",""
"","comment-000022","2026-05-02T16:39:23Z","2026-05-02T16:39:23Z","user-0021","268","配置非常贴歌，该留白的地方留白，该塞满的地方塞满，16分3,2,1,8绝赞扫很好地表达了变调，但也很抽奖，可以上个保护套。总之你是写小歌的神。","918","","",""
"","comment-000023","2026-04-19T13:29:10Z","2026-04-19T13:29:10Z","user-0022","113","整体结构还行，但是内无实在太扣分了哇，，，然后二副的手序初见也很难看懂（多研究一下或许算小巧思？ 辛苦啦！","468","","",""
"","comment-000024","2026-04-21T17:10:36Z","2026-04-21T17:10:36Z","user-0023","205","谢谢给出这么详细的修改意见！评谱辛苦了","0","","comment-001419","2026-04-21T17:10:36.135Z"
"","comment-000025","2026-04-09T16:57:08Z","2026-04-09T16:57:08Z","user-0004","5","Very chill and calming song. Thank you for introducing this song to me.

The chart actually plays with the song very well. There are some parts where I think the slides are way too intense, too much stacking to the point that it really feels overengineered for a song this relaxing. I think if you remove some of the chain slides (The Xaleidoscopix section and some rim slide sections), I think this would be a good chart.

Thank you for your hard work!","685","","",""
"","comment-000026","2026-04-11T16:25:43Z","2026-04-11T16:25:43Z","user-0024","138","别的先不说先给创意分拉满了。
---
~~这次的脑蚀怎么这么多~~
多次重复的双押星让人记忆深刻，从39s的非th接tap既不难也很调动身体
对touch的运用非常成熟，撞尾th因为暂时也玩不到非Cth暂不做手感评价（
整体谱面给人感觉眼前一亮，不是那种流水公式谱，除了副歌的撞非Cth像一笔画段和黄星藏绝赞星都是比较亮眼的地方。
---
~~先赌一手这位是TRG（（（~~","865","","",""
"","comment-000027","2026-04-22T17:42:01Z","2026-04-22T17:42:01Z","user-0025","222","虽然是4分钟的长曲，结构却十分优秀，谱面一气呵成。1260cb处类似INFINITE SKY尾杀右手增加位移递进表现音高的方法是我最喜欢的地方。除此之外，用touch hold弹钢琴的想法、以及一些特殊的音色处理也很好。个人感觉美中不足的点在于945cb这里星星太快了点，以及副歌摩天楼感觉和歌没有特别特别搭。总的来说是一张很优秀的谱面！","865","","",""
"","comment-000028","2026-04-11T12:50:33Z","2026-04-11T12:50:33Z","user-0026","21","14在何处
开头第二段kick更硬为什么第一段有绝赞第二段没绝赞，有点怪
另外抄的痕迹有点过于明显了，或者说谱师也没太想着遮掩（
14.5+谱面发表龙，实机也许还可以吧，但是会场审视起来确实会比较灾难","618","","",""
"","comment-000029","2026-04-10T11:36:50Z","2026-04-10T11:36:50Z","user-0027","104","对于结构很有把握，两段副歌的排键都是比较好玩的，开头和结尾随着声音高低改变星星的弧长也很有意思，但是有些地方的初见杀有点小刻意，总体上不错","768","","",""
"","comment-000030","2026-04-15T14:41:24Z","2026-04-15T14:41:24Z","user-0028","61","当初前30s的intro段写复踏是因为曲子一直在重复一个旋律，现在看来这个版本确实有点欠妥了；
主歌打拍子降强度是因为这里的情感基调也是降落的一个趋势，主播觉得降的很厉害可能是前面过门的位移太大了导致的，赛后我会考虑更加稳妥的过门写法，我的想法是改成简单的16分交互；
40行那块其实我没多想，我看看能不能改下两条星星的形状，2-6,8-4后面确实不好接东西；
第二段主歌的8分和副歌等我实力再提升一些再想想吧，纯采8分确实是一个比较呆的采法但我没啥更好的采法了（x
总之感谢您的评价与建议，受益匪浅。","0","","comment-003976","2026-04-15T14:41:23.231Z"
"","comment-000031","2026-04-29T22:15:04Z","2026-04-29T22:15:04Z","user-0029","259","搭配的很好的一张谱面，就像在春天的樱树下吃的おにぎり一样。
手感很好，转圈的部分有点初见杀，但是无伤大雅，越打越有韵味。
谢谢你的制谱！","918","","",""
"","comment-000032","2026-05-04T21:15:21Z","2026-05-04T21:15:21Z","user-0030","278","采音和其他楼一样，稍微感觉有点欠缺打磨的采音，微微的卡拉ok，不过如果是官谱谱师也会这样才所以其实问题不算大，配置的话整体都十分流畅，很行云流水，但同时起伏就没有做到位，行云流水但是是平平的流水，整体有点平a了，不过打着还是很好玩的","850","","",""
"","comment-000033","2026-04-28T02:05:32Z","2026-04-28T02:05:32Z","user-0031","250","风格挺独特的
62cb处的{16}5,4,5,4,2hb[16:1],,7hb[16:1],
不清楚是反手还是硬抗呢 有点怪怪的
两段副歌核心配置发牌个人可以接受 但是摆键乱乱的呢 引导不太明确
挺独树一帜的谱子 不错的","700","","",""
"","comment-000034","2026-04-22T04:55:13Z","2026-04-22T04:55:13Z","user-0032","111","（其实我很喜欢那个圈）","0","","comment-003431","2026-04-22T04:55:12.192Z"
"","comment-000035","2026-04-11T11:44:40Z","2026-04-11T11:44:40Z","user-0033","118",">[撞尾无理] 479cb处""2_""(L71,C2) 可能被 478cb处""3-1[8:1]""(L70,C23) 蹭到
>[内屏无理] 480cb处""7>2[4:1]""(L70,C32) 被提前蹭掉
>[内屏无理] 627cb处""7<3[2:3]""(L94,C16) 被提前蹭掉
以上出自maimuri检测结果
————
抛开无理不谈，这张谱也存在大量的看上去就很蹭或者内屏几乎没办法搞的配置
**大哥，咱们的歌BPM可是高达251啊！**
很多14+都没这么高有木有！
虽然看得出来有一定的压位移意识，但是在这么高的bpm下还要写大量原地位置一点不变化的星星，内屏玩家泪流满面啊！
还有一大票喝水一样批发的子弹，美军都要找你批发军火啊！
这么累，最后竟然还是13+？？你和标消失一桌吧
——————
星级评分不代表我想给你合理性分打很高，而是我单纯想给你打一个稍微低于及格分的分数。","588","","",""
"","comment-000036","2026-05-06T17:28:48Z","2026-05-06T17:28:48Z","user-0021","70","听完歌我不用看作者都知道这歌是谁写的，ユ！（笑）
谱面就跟他的歌一样癫，最贴歌的一集，该ユ的地方也是一个不落hhh，整张谱我没什么可挑刺的，是一张完成度很高的谱面，我会给一个高分的，不过在此我还有一个小建议：
0:45-0:48这一段，我注意到你是这样写的：
“{8}5,5,5/4,5/3,5/2,5/1,5/1,5/1,1-4[8:1],5-8[8:1],1,5,4,3/7,{4}2-5b[8:1]/6-1b[8:1],6x/2x/E8/B8/B1/E2/B2/B3/B4/E6/B5/A3/E4f,”
在我看来，你前半部分用双押表达鼓点，但在vocal出来后又放弃了双押改成用星星采vocal，这造成了一种割裂感，并且鼓点在这一段的主体地位也没能得到突出（这里鼓点始终是声音最大最明显的）。我尝试在你的基础上做了一些小改动——我把这里面的一些普通tap换成了绝赞，我发现感觉马上就不一样了，鼓点始终通过绝赞来体现，避免了击打过程中由于双押转向单押所导致的违和感，我改完如下：
“{8}5,5,5b/4,5b/3,5b/2,5b/1,5b/1,5b/1,1b-4[8:1],5b-8[8:1],1b,5b,4b,3b/7b,{4}2b-5b[8:1]/6b-1b[8:1],6x/2x/E8/B8/B1/E2/B2/B3/B4/E6/B5/A3/E4f,”
后面还有一段重复也是同理。，希望这个建议对你有用。
顺带提一句，0:32那里我是真绷不住了，原p怎么能写出这种东西来的，太搞了XD。","1000","","",""
"","comment-000037","2026-05-09T08:19:52Z","2026-05-09T08:19:52Z","user-0034","135","良谱，会场中唯二的DX初代谱，打起来很爽，值得学习。
165cb开始的一笔画段写得很好，不突兀，打起来很流畅。
173cb的8号位tap加保护套好评。
349cb的星星太快了。可以理解谱师这么写是为了neta，但是[32:1]也未免太快了，建议改为[16:1]。
411cb开始的这一段复沓加花很好，第二段扫键加保护套是不错的设计。后续类似配置同理。
451cb的一笔画有可能是借鉴了7.3，放在这里十分合适。后续类似配置同理。
556cb的6号位hold建议加保护套。
594cb开始的这一段短暂爆发配合保护套很好。
613cb的4号位hold没看懂为什么要加保护套。后面的几条hold同理。
806cb开始的转圈与前面的圈转速不同，建议加保护套。
861cb开始的这一段强度突然加大，打起来不爽，建议削弱。
976cb开始的touch转圈比较难糊上，建议修改。后续类似配置同理。
总的来说是张良谱。","783","","",""
"","comment-000038","2026-04-17T14:48:41Z","2026-04-17T14:48:41Z","user-0035","78","由简单明了配置堆砌而成的富有结构的谱面，手感较好
个人感觉有部分位置引导不足或不明显，如584在前面配置的引导下容易打成右手接{24}4,3,
整体而言贴歌，打感愉快。结尾音刻意采得很少可能是想做歌曲落幕的感觉（？ 但有点突兀，可能铺点星星或者多几根短管子采一下音好点","685","","",""
"","comment-000039","2026-04-12T03:37:58Z","2026-04-12T03:37:58Z","user-0036","89","我说扫+星星是对的
432cb这个双扫眼前一亮呀
不过除此之外好像就没什么特别的记忆点和值得暂停下来说道的部分了，略显白开水
最后慢星星带双押毕竟是touch所以可以原谅（？","768","","",""
"","comment-000040","2026-04-17T20:53:40Z","2026-04-17T20:53:40Z","user-0037","126","打的挺爽，最大的问题大概就是中断的绝赞星星和拍划，（长得像疲软的口口），别的地方neta动作都有点意思加油加油","700","","",""
"","comment-000041","2026-04-30T09:25:18Z","2026-04-30T09:25:18Z","user-0038","54","哇塞这个谱子起手就像是老资历了 不知道为啥majnet上热度这么低

手序设计挺大胆的 但是也很合理

不过有一些小问题存在

523cb开始的键盘不是很贴歌啊 而且慢星星前面的那一部分写的也是类似的键盘 显然这两个乐段不能用几乎同样的配置啊

892cb开始的尾杀应该想写一个类双扫的配置 但接扫的那个手脑测感觉很难接上去 加上后面的同手扫感觉多少已经超出了13+的范畴（但这个扫写的还是可以的

总的来讲算是个小众宝藏了（吧","850","","",""
"","comment-000042","2026-05-06T07:53:25Z","2026-05-06T07:53:25Z","user-0039","106","真的好久没有新评价看到你的评价差点哇一声吼出来了！
前半部分的三根星星其实算是我没把控好前面难度，自己到后面也发现了后面类似音不写类似配置的情况，我自己评价来说就是“起太高了”，谢谢评论指出。
一副跳拍走向其实在给英文金色评论的reply中有提及，学习的是某张官谱的配置，然后进行了轻微的变形，没有提前测试的状况下确实没办法考虑到实际的读谱难度。
二副的一笔画星星，这里是我最头疼的一个段落，也是我修改最多次的一个段落，反复修改后决定了这么写，其实也不太合适，如果有合适的配置之类的也欢迎畅所欲言！
总之还是很感谢在接近半个月无人问津后对我的谱面进行评价，想要认识认识你，赛后教教我写谱呗！","0","","comment-002641","2026-05-06T07:53:23.826Z"
"","comment-000043","2026-04-11T13:51:00Z","2026-04-11T13:51:00Z","user-0040","13","这里是谱师，先委屈各位实测右手抗一下300combo那段啦，已想到其他方案修改 赛后会发！
还有关于手顺我的谱面一向很自由没有双押的怎么都能行得通，但基本都是有兼顾手顺哒希望各位多多研究！有些别扭的也是特意的难点~","1000","","",""
"","comment-000044","2026-05-09T14:41:07Z","2026-05-09T14:41:07Z","user-0010","31","氛围感是做到位了。对于这种纯星星歌，有四点特别重要：核心、结构、变化、贴歌。核心上，钩子星星非常有记忆点，剩下三点就有些欠缺，尤其是变化上，贴边弧+钩子重复得太多，从开头到结尾，已经会有些视觉疲劳。副歌与其他段落的变化不够。","685","","",""
"","comment-000045","2026-04-16T07:20:49Z","2026-04-16T07:20:49Z","user-0004","159","We were bound to have another What's Up Pop chart eventually and I have seen so much of it now that I have once again placed high expectations, (especially because I have once oversee a What's Up Pop fanchart for an event) so I hope I get to experience something new with this one. And to my surprise...

**There was no surprise. Okay fine... A bit of surprise.**

I think you made a very well crafted 14+. The patterns are quite comfortable. Nothing feels like it was badly placed and I think the difficulty curve is handled very well. Two things I would like to point out.
- The break section is pretty reasonable given the nature of the song. If the breaks were not done this way, there would be no other way to do it. Just wanna assure you if anyone were to judge you harshly about this section, know that I agree with your decision.
- The ending trills and endkill is very very delicately mixed. I like the way the notes were in an absolute comfortable position and nothing feels too overkill. The if:U ending is fine, as much as I love to see a different pattern, I was able to accept it for it is.

There was one big issue with the chart and is **it doesn't feel like a Maimai chart**. The very few usage of festival slides/ slide charting and the almost non-existing spins and swipes make this chart feel like there is nothing unique about it. Everyone who sees this song, the trills are already within expectations so everyone's scoring would just based on comfort. I am more strict with this point because if you don't do anything unique with the chart that gives it a more 'Maimai' feeling, then what you just made feels like a convert of a 'Chunithm' chart.

I would encourage you think about this. Almost all other charts of this song plays the same, just that the note distribution is different. If you manage to find it in you to actually come up with a unique way to chart this song, please let me have a look and I'm willing to give my thoughts again. Thank you for your hard work.","753","","",""
"","comment-000046","2026-04-13T07:31:04Z","2026-04-13T07:31:04Z","user-0041","167","结构爆炸了
二副前都在写一样的键盘，一样的蓝黄，对于一个两分半的歌够视觉疲劳了
基本上除了二副加了一些扫键和子弹大部分都是写的无聊的星星和错位。这在结构上肯定是有大问题的，尽管这首歌每个段落都听感差不多，还是要对每个段落做区分的，整体需要推倒重来。
如果想要进行修改的话，前段可以着重于体现停顿感和押那种比较刺耳的音色，从这种停顿再向二副的连续做一些过渡，观感应该会好很多","535","","",""
"","comment-000047","2026-05-05T17:36:52Z","2026-05-05T17:36:52Z","user-0042","36","我尼玛啥配图，吓我一跳","0","","comment-003306","2026-05-05T17:36:51.314Z"
"","comment-000048","2026-04-13T15:19:21Z","2026-04-13T15:19:21Z","user-0004","82","[内容已隐藏]

Bro wtf is this, I love it and hate it at the same time.

The ideas is actually insane, so much so I was jaw dropping and laughing the entire chart. I am in love with your ideas. Sadly the execution is also very very chaotic. I think if you tone them down and make it reasonable... by A LOT, then I think this chart would be super enjoyable.

Please keep making stuff like this, I love to see more. Thank you for your hard work.","715","","",""
"","comment-000049","2026-04-13T23:04:39Z","2026-04-13T23:04:39Z","user-0038","110","加一句 这个谱子确实让我眼前一亮
这是我第一张维度c给了满分的谱面","0","","comment-000479","2026-04-13T23:04:39.622Z"
"","comment-000050","2026-04-27T13:27:37Z","2026-04-27T13:27:37Z","user-0018","139","好可爱的谱面，很符合曲子miku给人的活泼可爱印象。
neta方面做的好细致而且衔接起来没什么维和感，有些地方不细看发现不了藏了neta，虽然一般neta不会作为加分项，但这张自制确实是把neta运用到谱面的优秀案例。
管子段miku的还原动作看着确实单调，但是上机游玩过就知道设计点在哪里了，就算没完全按照谱师设计的手顺游玩也能get到这部分有意思的地方。
总体来说，这首一张实测系偏重谱面，观感上可能有些重复单调，但不影响上机游玩的实际体验加分。","850","","",""
"","comment-000051","2026-04-25T00:48:14Z","2026-04-25T00:48:14Z","user-0034","128","良谱，不错的小歌，但是结构不足，需要扣分。
32cb开始的touch扫建议改为从2号位开始。
194cb开始的星星很好，tap加保护套好评。
246cb开始的交互引入十分自然。
430cb开始的neta段很好。
476cb开始的这一段初见杀，建议给开头的几个tap加保护套。
571cb的break双押可以加保护套。星星画的居然是精灵球，真没想到。
676cb的5号位星星头tap建议加保护套。
696cb采用了官谱常用的挥手道别押，效果很好，大道至简。
745cb的星星时值可以长一点。
760cb的FES星星可以改为8>2v3<5的写法。
783cb开始的结尾段调动情绪很好。","700","","",""
"","comment-000052","2026-05-02T17:25:37Z","2026-05-02T17:25:37Z","user-0043","236","比较纯良的一首小歌
跳拍摆的比较正常 副歌的核心以调动身体为主 比较简洁 非cth去押特殊音色的想法也比较有趣 挑不出太大的问题
总体来说比较符合本人的胃口 谱师加油哦~","918","","",""
"","comment-000053","2026-05-07T17:26:14Z","2026-05-07T17:26:14Z","user-0044","185","感谢您的评论及建议！
对于歌曲前段主歌的开花星星，本人创作本意是想进行歌词押，但是鉴于很多人反馈这一点，赛后我会对此部分进行修改。
对于过渡段的星星部分，我的意图是安排一个休息段并且适当地安排玩家注意力不会太发散的部分，于是我安排了几个差速星星但速度并不是很快，鉴于您说的星星形状部分赛后我会斟酌修改。
对于二副的部分是我考虑不周，单纯只是想做一个区分加强但并没有想出太好的情绪表达方法，于是我便写了一个华尔兹的配置。当然，我在赛后也会进行修改。
再次感谢您的点评及建议，祝您比赛顺利。","0","","comment-002280","2026-05-07T17:26:13.586Z"
